Code,City,Country,AIRPORT
10001,Afognak Lake,AK,Afognak Lake
10003,Granite Mountain,AK,Bear Creek Mining Strip
10004,Lik,AK,Lik Mining Camp
10005,Little Squaw,AK,Little Squaw
10006,Kizhuyak,AK,Kizhuyak Bay
10007,Klawock,AK,Klawock Seaplane Base
10008,Elizabeth Island,AK,Elizabeth Island
10009,Homer,AK,Augustin Island
10010,Hudson,NY,Columbia County
10011,Peach Springs,AZ,Grand Canyon West
10012,Blairstown,NJ,Blairstown
10013,Crosbyton,TX,Crosbyton Municipal
10014,Fairbanks/Ft. Wainwright,AK,Blair Lake
10015,Deadmans Bay,AK,Deadmans Bay
10016,Hallo Bay,AK,Hallo Bay
10017,Red Lake,AK,Red Lake
10018,Shell Lake,AK,Shell Lake
10019,Kougarok,AK,Navigator Airstrip
10020,Selawik,AK,Roland Norton Memorial
10021,Pillar Bay,AK,Pillar Bay
10022,Johnstone Point,AK,Johnstone Point
10023,Tikchik Lodge,AK,Tikchik Lodge
10024,Bell Creek,AK,Bell Creek
10025,Cinnabar,AK,Cinnabar
10026,Mountaintop Mine,AK,Mountaintop Mine
10027,Whitebear,AK,Whitebear
10028,Puviaq,AK,Puviaq
10029,Arley Lake,AK,Arley Lake
10030,Port Vita,AK,Port Vita
10031,Kantishna,AK,Kantishna
10033,Alpine,AK,Alpine Airstrip
10034,Serpentine,AK,Serpentine
10035,Driftwood Bay,AK,Driftwood Bay
10036,Bradley Lake,AK,Bradley Lake
10037,Chilkat Lake,AK,Chilkat Lake
10038,Nugget Creek,AK,Nugget Creek
10039,Ivotuk,AK,Ivotuk Airstrip
10040,Pogo Mines,AK,Pogo Mines
10041,Ayakulik River,AK,Ayakulik River
10042,Kiluda Bay,AK,Kiluda Bay
10043,Terror Lake,AK,Terror Lake
10044,Selief Bay,AK,Selief Bay
10047,Laura Lake,AK,Laura Lake
10049,Deep Bay,AK,Deep Bay
10050,Kako,AK,Kako
10051,Molly Creek,AK,Molly Creek
10052,Ptarmigan Lake,AK,Ptarmigan Lake
10053,Cape Simpson,AK,Cape Simpson
10054,Kogru River,AK,Kogru River
10055,Teshepkuk Lake,AK,Teshepkuk Lake
10056,Kodiak Island,AK,Trident Basin Seaplane Base
10058,Lake Florence,AK,Lake Florence
10059,Lake Hasselborg,AK,Lake Hasselborg
10060,Distin Lake,AK,Distin Lake
10061,Port Hobron,AK,Port Hobron
10062,Mooseville Airstrip,AK,Mooseville Airstrip
10063,Big Bay,AK,Big Bay
10064,Wien Lake,AK,Wien Lake
10065,Silver Salmon Creek,AK,Silver Salmon Creek
10066,Blear Lake,AK,Blear Lake
10067,Cannery Bay,AK,Cannery Bay
10069,Bear Lake,AK,Johnsons Landing
10070,International Seafoods,AK,International Seafoods
10071,Cosna River,AK,Cosna River
10072,Ivatuk,AK,Ivatuk
10074,Cape Sarichef,AK,Cape Sarichef
10075,Taylor Mountain Mine,AK,Taylor Mountain
10076,Yukon Charley Rivvers,AK,Coal Creek
10078,Karluk Portage,AK,Karluk Portage
10079,Hope,AK,Hope
10080,Viekoda Bay,AK,Viekoda Bay
10082,Cold Bay,AK,Cathedral Strip
10083,Village Islands,AK,Village Islands
10084,Homer,AK,Bear Cove Farm
10085,Chinitna Bay,AK,Chinitna Bay
10086,McKinley Park,AK,McKinley National Park
10087,Nanwalek,AK,Dog Fish Bay
10088,Malina Bay,AK,Malina Bay
10089,Red Fox Bay,AK,Red Fox Bay
10090,Shearwater,AK,Shearwater
10091,Cape Simpson,AK,Lake
10092,Cape Simpson,AK,Cape Simpson No. 1
10093,Cape Simpson,AK,Cape Simpson No. 7
10094,Aglaq,AK,Cape Simpson #1
10095,Nikiski,AK,Nikiski Private Airstrip
10096,Petrof Point,AK,Petrof Point
10097,Denali,AK,Denali West Lodge Private
10098,Big River,AK,Big River
10100,Carry Inlet,AK,Carry Inlet
10102,Montague Island,AK,Montague Island
10103,Shannon Pond,AK,Shannon Pond
10104,Omalik Lagoon,AK,Omalik Lagoon
10105,Omolik Lagoon,AK,Omolik Lagoon
10106,Bradley Lake Project,AK,Bradley Lake Project
10107,Barrow,AK,Ice Strip
10108,Barrow,AK,Ice Strip
10109,Barrow,AK,Ice Strip
10110,Akulik,AK,Akulik Air Strip
10111,Deadfall,AK,Deadfall Air Strip
10112,Eagle Creek,AK,Eagle Creek
10113,Bethel,AK,Ice Kong
10116,Kachemak Bay,AK,Glacier Split
10117,Selby Lake,AK,Selby Lake
10118,Anaa,French Polynesia,Anaa
10119,Arrabury,Australia,Arrabury Station
10120,El Arish,Egypt,El Arish International
10121,Annaba,Algeria,Rabah Bitat
10122,Apalachicola,FL,Apalachicola Regional Cleve Randolph Field
10123,Aachen,Germany,Aachen Merzbrueck
10124,Arraias,Brazil,Arraias
10125,Aalborg,Denmark,Aalborg
10126,Mala Mala,South Africa,Malamala
10127,Al Ain,United Arab Emirates,Al Ain International
10128,Anaco,Venezuela,Anaco
10129,Anapa,Russia,Vityazevo
10130,Aarhus,Denmark,Aarhus
10131,Asau,Samoa,Asau W Sam
10132,Araxa,Brazil,Araxa
10134,Abadan,Iran,Abadan
10135,Allentown/Bethlehem/Easton,PA,Lehigh Valley International
10136,Abilene,TX,Abilene Regional
10137,Abidjan,Cote d'Ivoire,Felix Houphouet Boigny Abidjan International
10138,Kabri Dar,Ethiopia,Kebri Dahar
10139,Ambler,AK,Ambler River
10140,Albuquerque,NM,Albuquerque International Sunport
10141,Aberdeen,SD,Aberdeen Regional
10142,Abu Simbel,Egypt,Abu Simbel
10143,Al-Baha,Saudi Arabia,King Saud Bin Abdulaziz
10144,Abuja,Nigeria,Nnamdi Azikiwe International
10145,Albury,Australia,Albury
10146,Albany,GA,Southwest Georgia Regional
10147,Aberdeen,United Kingdom,Aberdeen Dyce
10148,Acapulco,Mexico,General Juan N Alvarez International
10149,Bellaire,MI,Antrim County
10150,Accra,Ghana,Accra Kotoka International
10151,Arrecife,Spain,Lanzarote
10152,Altenrhein,Switzerland,St Gallen Altenrhein
10153,Alderney,United Kingdom,Alderney
10154,Nantucket,MA,Nantucket Memorial
10155,Waco,TX,Waco Regional
10156,Achutupo,Panama,Achutupo
10157,Arcata/Eureka,CA,California Redwood Coast Humboldt County
10158,Atlantic City,NJ,Atlantic City International
10159,Adana,Turkey,Adana International
10160,Izmir,Turkey,Adnan Menderes
10161,Andakombe,Papua New Guinea,Andakombe
10162,Addis Ababa,Ethiopia,Bole International
10163,Aden,Yemen,Aden International
10164,Amman,Jordan,Marka International
10165,Adak Island,AK,Adak
10166,Adelaide,Australia,Adelaide International
10167,Ardmore,OK,Ardmore Municipal
10168,Andes,Colombia,Andes
10169,Andamooka,Australia,Andamooka
10170,Kodiak,AK,Kodiak
10171,Dallas,TX,Addison
10172,Camp Springs,MD,Joint Base Andrews
10173,St Andrews,United Kingdom,RAF Leuchars
10174,San Andres Island,Colombia,Gustavo Rojas Pinilla
10175,Al Dhafra,United Arab Emirates,Al Dhafra Air Base
10176,Aleneva,AK,Aleneva
10177,Padang Sidempuan,Indonesia,Aek Godang
10178,Abeche,Chad,Abeche
10180,Aioun El Atrouss,Mauritania,Aioun El Atrouss
10181,Buenos Aires,Argentina,Aeroparque Jorge Newbery
10182,Adler/Sochi,Russia,Adler/Sochi
10183,Aalesund,Norway,Vigra
10184,Allakaket,AK,Allakaket
10185,Alexandria,LA,Alexandria International
10186,Akureyri,Iceland,Akureyri
10188,San Rafael,Argentina,San Rafael
10189,Colorado Springs,CO,USAF Academy Airfield
10190,Nebraska,NE,Nebraska City Municipal
10191,Afton,WY,Afton Municipal
10192,Wadesboro,NC,Anson County Jeff Cloud Field
10194,Dallas/Fort Worth,TX,Fort Worth Alliance
10195,Afyon,Turkey,Afyon
10196,Agadir,Morocco,Inezgane
10197,Augsburg,Germany,Augsburg
10198,Pittsburgh,PA,Allegheny County
10199,Agen,France,Agen La Garenne
10200,Angoram,Papua New Guinea,Angoram
10201,Angelholm/Helsingborg,Sweden,Angelholm
10202,Kagua,Papua New Guinea,Kagua
10203,Wanigela,Papua New Guinea,Wanigela
10204,Angoon,AK,Angoon Seaplane Base
10205,Malaga,Spain,Malaga
10206,Agrinion,Greece,Agrinion
10207,Agra,India,Agra
10208,Augusta,GA,Augusta Regional at Bush Field
10209,Ciudad del Este,Paraguay,Guarani International
